city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
labuhan,-6.88,112.21,26.86,74,4.52,8,ID,1602857071
morant bay,17.88,-76.41,29.44,78,3.1,20,JM,1602857071
yinchuan,38.47,106.27,10.78,35,2.73,0,CN,1602856783
rocha,-34.48,-54.33,21.2,62,4.26,19,UY,1602857071
rochefort,45.92,-1.0,14.0,54,2.1,40,FR,1602857071
severo-kurilsk,50.68,156.12,5.7,68,10.99,37,RU,1602857072
trelew,-43.25,-65.31,30.07,21,8.45,1,AR,1602856896
shyryayeve,47.38,30.2,22.42,49,3.99,100,UA,1602857072
kieta,-6.22,155.63,26.4,75,1.21,22,PG,1602857073
forrest city,35.01,-90.79,10.56,81,2.6,1,US,1602857073
mattru,7.62,-11.83,29.47,74,1.78,98,SL,1602857073
ambon,-3.7,128.18,25.56,94,3.1,40,ID,1602857073
adre,13.47,22.2,34.51,11,3.73,0,TD,1602857073
milford,41.22,-73.06,18.33,77,5.7,90,US,1602857073
georgetown,5.41,100.34,28.0,83,1.0,20,MY,1602857073
pandan,14.05,124.17,26.9,77,1.74,91,PH,1602857074
okhotsk,59.38,143.3,-2.89,86,3.12,0,RU,1602857074
voskresenskoye,56.84,45.43,6.19,72,2.14,100,RU,1602857074
avarua,-21.21,-159.78,21.0,77,2.6,100,CK,1602857074
gagino,55.23,45.03,9.75,89,4.18,100,RU,1602857074
yuanping,38.72,112.76,7.6,48,1.2,0,CN,1602856880
carnarvon,-24.87,113.63,21.0,77,11.3,0,AU,1602857074
lorengau,-2.02,147.27,27.44,75,2.93,100,PG,1602857075
upernavik,72.79,-56.15,2.75,74,2.97,100,GL,1602857075
wake forest,35.98,-78.51,16.11,100,4.1,90,US,1602857075
sunland park,31.8,-106.58,14.44,37,6.2,1,US,1602857075
santa isabel do rio negro,-0.41,-65.02,31.74,57,0.68,98,BR,1602857075
boke,10.94,-14.3,33.67,58,0.9,100,GN,1602856920
guerrero negro,27.98,-114.06,21.74,70,4.05,0,MX,1602857075
palmerston,-12.49,130.98,25.0,94,1.5,20,AU,1602857076
mizan teferi,6.98,35.58,20.34,91,0.38,100,ET,1602857076
mayahi,13.96,7.67,38.18,14,2.9,0,NE,1602857076
manaus,-3.1,-60.02,28.0,78,1.5,20,BR,1602857076
nome,64.5,-165.41,3.0,93,11.3,90,US,1602857076
tabou,4.42,-7.35,27.06,79,5.43,90,CI,1602857076
ahipara,-35.17,173.17,9.52,85,0.99,8,NZ,1602857077
flinders,-34.58,150.86,16.11,78,0.45,99,AU,1602857078
la ronge,55.1,-105.28,-5.0,62,6.2,90,CA,1602857078
kaitangata,-46.28,169.85,6.67,83,1.79,47,NZ,1602857078
tsogni,-2.79,10.1,26.01,72,3.32,86,GA,1602857078
plettenberg bay,-34.05,23.37,21.35,66,8.0,1,ZA,1602857078
el dorado,38.77,-120.52,22.0,15,3.6,75,US,1602857078
manta,-0.95,-80.73,24.0,88,3.1,90,EC,1602857078
sale,34.04,-6.82,21.0,43,3.1,40,MA,1602857079
sagar,23.83,78.72,26.22,70,2.62,8,IN,1602856978
qidong,31.81,121.66,16.11,92,3.02,96,CN,1602856904
port moresby,-9.44,147.18,23.94,89,5.48,63,PG,1602857079
tolmin,46.18,13.73,15.56,78,0.45,87,SI,1602857079
ercis,39.03,43.36,19.0,42,2.6,0,TR,1602857079
spasskoye,44.61,132.8,5.21,78,2.92,48,RU,1602857079
the pas,53.83,-101.25,-3.0,63,6.2,90,CA,1602857080
vostok,46.49,135.88,-3.08,92,2.42,0,RU,1602857080
dzhebariki-khaya,62.22,135.8,-9.22,91,0.7,0,RU,1602856803
college,64.86,-147.8,-12.78,71,1.0,20,US,1602857080
lavrentiya,65.58,-171.0,3.8,93,13.15,100,RU,1602857080
marsh harbour,26.54,-77.06,27.99,78,4.63,100,BS,1602857080
fort nelson,58.81,-122.7,-5.0,92,2.1,90,CA,1602857080
wahiawa,21.5,-158.02,23.89,100,1.46,75,US,1602857081
buraydah,26.33,43.98,33.0,18,4.6,0,SA,1602857081
surin,14.88,103.49,26.11,86,4.54,100,TH,1602857006
korla,41.76,86.15,9.96,44,1.07,0,CN,1602856910
kandrian,-6.22,149.55,25.63,88,3.42,97,PG,1602857081
viedma,-40.81,-63.0,27.78,40,3.58,0,AR,1602857081
mormugao,15.4,73.8,26.0,94,5.1,75,IN,1602857081
erie,42.77,-78.67,8.89,65,4.6,75,US,1602857082
pavino,59.11,46.14,2.06,84,1.62,89,RU,1602857082
gabu,12.28,-14.22,34.01,55,1.51,90,GW,1602857082
buala,-8.14,159.59,27.27,78,2.35,50,SB,1602857082
shakhtinsk,49.71,72.59,7.0,39,4.0,0,KZ,1602856922
pedernales,18.04,-71.74,28.0,88,3.1,20,DO,1602857082
villa carlos paz,-31.42,-64.5,25.0,49,3.6,1,AR,1602857082
hambantota,6.12,81.12,29.0,74,3.1,20,LK,1602856940
